Row,Node ID,PM2.5,PM10,CO,NH3,NO2,Ozone,CO2,VOC,Smoke
1,NODE002,27.84,43.82,0.95,1.4,18.1,25.94,470.07,3.79,1.82
2,NODE002,27.8,43.78,0.94,1.39,18.08,25.9,470.26,3.75,1.81
3,NODE002,27.99,43.61,0.94,1.39,17.96,25.95,470.4,3.74,1.83
4,NODE002,27.95,43.81,0.93,1.4,17.97,25.99,470.02,3.73,1.84
5,NODE002,28.05,43.92,0.94,1.4,17.97,26.01,469.76,3.7,1.86
6,NODE002,28.19,44.16,0.94,1.4,17.93,26.0,468.92,3.7,1.86
7,NODE002,28.08,43.97,0.94,1.39,17.89,25.96,469.03,3.72,1.88
8,NODE002,28.29,44.24,0.94,1.39,17.9,25.93,470.05,3.72,1.89
9,NODE002,28.16,44.1,0.94,1.39,17.84,25.92,469.89,3.69,1.86
10,NODE002,28.01,44.1,0.93,1.39,17.75,25.95,469.7,3.73,1.85
11,NODE002,28.13,44.04,0.93,1.39,17.87,26.0,469.55,3.75,1.86
12,NODE002,28.03,43.86,0.94,1.39,17.88,26.0,468.86,3.77,1.88
13,NODE002,28.01,43.71,0.95,1.39,17.92,26.04,468.68,3.73,1.85
14,NODE002,27.97,43.93,0.95,1.39,17.96,26.01,469.31,3.7,1.85
15,NODE002,28.0,43.79,0.95,1.39,17.93,26.06,469.02,3.68,1.85
16,NODE002,27.94,43.77,0.96,1.39,17.86,26.02,470.05,3.72,1.83
17,NODE002,27.8,43.72,0.96,1.39,17.97,26.06,470.12,3.75,1.83
18,NODE002,27.94,43.64,0.96,1.39,17.97,26.04,469.56,3.75,1.8
19,NODE002,28.12,43.83,0.96,1.39,18.02,26.0,468.68,3.78,1.8
20,NODE002,28.1,43.8,0.97,1.39,18.08,26.03,468.1,3.82,1.77
21,NODE002,28.12,44.0,0.96,1.39,18.04,26.08,467.42,3.8,1.79
22,NODE002,28.31,43.8,0.96,1.39,18.06,26.14,467.17,3.81,1.78
23,NODE002,28.35,43.72,0.96,1.39,18.15,26.1,468.19,3.78,1.75
24,NODE002,28.45,43.75,0.95,1.39,18.06,26.14,469.05,3.76,1.77
25,NODE002,28.61,43.98,0.96,1.39,18.08,26.2,468.73,3.76,1.79
26,NODE002,28.51,43.85,0.96,1.39,18.1,26.19,468.11,3.72,1.79
27,NODE002,28.68,44.05,0.95,1.4,18.09,26.15,467.37,3.72,1.79
28,NODE002,28.55,44.3,0.94,1.4,18.06,26.18,466.7,3.73,1.81
29,NODE002,28.49,44.31,0.94,1.4,18.0,26.12,467.65,3.7,1.83
30,NODE002,28.55,44.36,0.93,1.4,18.05,26.16,467.61,3.68,1.81
31,NODE002,28.62,44.53,0.92,1.4,18.02,26.11,467.16,3.67,1.82
32,NODE002,28.64,44.49,0.93,1.4,17.91,26.06,467.74,3.71,1.8
33,NODE002,28.78,44.52,0.93,1.4,17.86,26.03,468.7,3.68,1.82
34,NODE002,28.8,44.44,0.92,1.4,17.98,25.99,468.0,3.68,1.84
35,NODE002,28.91,44.25,0.91,1.4,17.97,26.04,468.41,3.65,1.82
36,NODE002,28.73,44.35,0.91,1.4,18.04,26.08,467.94,3.65,1.83
37,NODE002,28.52,44.28,0.91,1.4,18.12,26.02,467.15,3.69,1.81
38,NODE002,28.64,44.44,0.91,1.41,18.2,26.06,466.79,3.69,1.84
39,NODE002,28.68,44.63,0.92,1.41,18.16,26.08,465.93,3.68,1.85
40,NODE002,28.51,44.74,0.92,1.41,18.05,26.09,466.58,3.66,1.86
41,NODE002,28.39,44.67,0.93,1.4,18.15,26.15,466.04,3.63,1.87
42,NODE002,28.55,44.76,0.94,1.4,18.04,26.2,466.41,3.62,1.89
43,NODE002,28.37,44.64,0.93,1.4,18.07,26.19,466.66,3.59,1.89
44,NODE002,28.31,44.79,0.93,1.4,18.11,26.18,466.27,3.57,1.86
45,NODE002,28.43,44.96,0.94,1.41,18.07,26.19,467.06,3.55,1.83
46,NODE002,28.6,45.11,0.93,1.41,17.99,26.16,466.51,3.59,1.85
47,NODE002,28.4,45.24,0.93,1.41,18.02,26.16,466.03,3.58,1.85
48,NODE002,28.34,44.98,0.93,1.41,18.13,26.14,466.18,3.59,1.87
49,NODE002,28.21,45.05,0.93,1.41,18.02,26.14,465.71,3.6,1.89
50,NODE002,28.23,44.97,0.94,1.41,17.92,26.08,465.95,3.59,1.86
51,NODE002,28.11,45.04,0.93,1.42,18.01,26.12,466.88,3.61,1.85
52,NODE002,28.19,45.26,0.93,1.41,17.9,26.07,467.61,3.59,1.86
53,NODE002,28.14,45.2,0.93,1.41,17.82,26.07,468.03,3.6,1.88
54,NODE002,28.31,45.24,0.92,1.41,17.94,26.08,468.02,3.62,1.89
55,NODE002,28.31,45.15,0.93,1.41,17.98,26.05,468.17,3.63,1.89
56,NODE002,28.26,44.97,0.93,1.41,17.97,26.03,468.09,3.62,1.86
