Row,Node ID,PM2.5,PM10,CO,NH3,NO2,Ozone,CO2,VOC,Smoke
1,NODE005,13.92,22.14,0.45,0.9,8.97,22.03,415.23,1.77,0.52
2,NODE005,13.91,22.16,0.45,0.9,9.02,22.08,415.91,1.76,0.5
3,NODE005,13.85,22.26,0.45,0.91,9.08,22.1,416.66,1.78,0.49
4,NODE005,13.96,22.19,0.45,0.9,9.01,22.12,417.39,1.79,0.5
5,NODE005,13.95,22.14,0.45,0.9,9.04,22.11,418.05,1.77,0.51
6,NODE005,14.0,22.19,0.45,0.9,9.02,22.15,417.93,1.74,0.51
7,NODE005,14.06,22.14,0.45,0.9,9.03,22.11,417.81,1.76,0.49
8,NODE005,14.05,22.26,0.45,0.9,9.08,22.08,418.06,1.74,0.49
9,NODE005,14.07,22.13,0.44,0.9,9.11,22.08,417.23,1.74,0.47
10,NODE005,14.08,22.0,0.44,0.9,9.17,22.08,417.36,1.73,0.48
11,NODE005,14.2,22.06,0.44,0.9,9.23,22.04,417.42,1.75,0.47
12,NODE005,14.12,21.89,0.44,0.9,9.16,22.04,417.36,1.74,0.46
13,NODE005,14.25,22.09,0.44,0.9,9.22,22.07,417.65,1.76,0.46
14,NODE005,14.15,22.06,0.44,0.9,9.14,22.04,416.89,1.76,0.45
15,NODE005,14.29,21.97,0.44,0.91,9.17,22.0,416.92,1.79,0.45
16,NODE005,14.32,22.12,0.44,0.9,9.2,22.01,416.83,1.77,0.47
17,NODE005,14.38,22.06,0.44,0.9,9.12,22.04,416.37,1.76,0.49
18,NODE005,14.47,22.06,0.44,0.91,9.08,22.02,417.1,1.79,0.5
19,NODE005,14.56,22.2,0.43,0.91,9.03,22.03,417.01,1.77,0.51
20,NODE005,14.46,22.12,0.44,0.9,9.09,22.03,417.34,1.77,0.51
21,NODE005,14.42,22.28,0.44,0.9,9.11,21.99,417.18,1.78,0.51
22,NODE005,14.39,22.24,0.44,0.9,9.14,21.99,416.3,1.81,0.5
23,NODE005,14.43,22.31,0.44,0.9,9.12,22.04,415.55,1.81,0.51
24,NODE005,14.37,22.36,0.44,0.9,9.14,22.05,415.92,1.83,0.5
25,NODE005,14.36,22.34,0.44,0.9,9.18,22.1,415.23,1.83,0.5
26,NODE005,14.46,22.18,0.44,0.9,9.16,22.1,415.58,1.83,0.5
27,NODE005,14.33,22.21,0.44,0.9,9.22,22.08,414.79,1.84,0.51
28,NODE005,14.45,22.35,0.44,0.9,9.18,22.06,415.31,1.85,0.52
29,NODE005,14.57,22.41,0.44,0.9,9.19,22.07,415.57,1.86,0.51
30,NODE005,14.67,22.22,0.44,0.89,9.1,22.11,415.47,1.87,0.5
31,NODE005,14.71,22.27,0.43,0.89,9.1,22.14,414.79,1.85,0.51
32,NODE005,14.74,22.19,0.43,0.89,9.05,22.18,414.56,1.87,0.5
33,NODE005,14.75,22.28,0.43,0.89,9.0,22.2,413.81,1.89,0.49
34,NODE005,14.76,22.2,0.43,0.89,8.97,22.16,413.3,1.88,0.48
35,NODE005,14.73,22.25,0.43,0.89,8.94,22.11,414.07,1.9,0.47
36,NODE005,14.72,22.33,0.43,0.89,8.87,22.06,413.31,1.88,0.49
37,NODE005,14.68,22.15,0.43,0.89,8.9,22.01,413.55,1.86,0.47
38,NODE005,14.61,22.09,0.43,0.89,8.84,22.02,414.32,1.88,0.49
39,NODE005,14.6,21.94,0.43,0.89,8.79,22.04,414.37,1.86,0.48
40,NODE005,14.64,22.1,0.43,0.89,8.79,22.07,413.64,1.83,0.48
41,NODE005,14.58,22.15,0.43,0.89,8.85,22.03,413.51,1.86,0.48
42,NODE005,14.45,22.15,0.44,0.89,8.86,22.05,413.06,1.86,0.47
43,NODE005,14.5,22.27,0.43,0.89,8.89,22.04,413.88,1.87,0.48
44,NODE005,14.45,22.17,0.44,0.89,8.96,22.01,413.21,1.88,0.48
45,NODE005,14.57,22.16,0.44,0.89,8.93,21.97,412.54,1.87,0.5
46,NODE005,14.54,22.04,0.44,0.89,9.0,21.92,413.21,1.89,0.49
47,NODE005,14.67,21.87,0.44,0.89,8.94,21.95,412.94,1.89,0.5
48,NODE005,14.54,21.77,0.44,0.89,9.0,21.99,413.79,1.88,0.49
49,NODE005,14.62,21.69,0.43,0.89,8.92,21.95,413.59,1.87,0.5
50,NODE005,14.72,21.86,0.43,0.89,8.87,21.92,413.9,1.89,0.49
51,NODE005,14.58,22.04,0.43,0.89,8.91,21.96,413.52,1.92,0.51
52,NODE005,14.69,21.97,0.44,0.89,8.96,21.92,413.8,1.91,0.53
53,NODE005,14.58,21.91,0.44,0.89,9.03,21.94,413.71,1.91,0.52
54,NODE005,14.59,22.0,0.44,0.89,9.02,21.98,414.1,1.9,0.51
55,NODE005,14.46,21.95,0.45,0.89,9.05,22.01,413.92,1.89,0.52
56,NODE005,14.34,22.02,0.45,0.89,9.08,22.02,413.56,1.9,0.54
57,NODE005,14.41,22.0,0.45,0.89,9.08,22.02,413.79,1.91,0.54
58,NODE005,14.48,21.97,0.45,0.89,9.04,22.01,414.57,1.92,0.52
59,NODE005,14.4,21.94,0.45,0.89,9.1,22.0,415.25,1.89,0.51
60,NODE005,14.53,21.88,0.45,0.89,9.04,22.02,415.23,1.86,0.51
61,NODE005,14.46,21.98,0.45,0.89,9.03,22.05,415.29,1.88,0.5
62,NODE005,14.46,22.1,0.45,0.89,8.96,22.06,415.71,1.87,0.51
63,NODE005,14.39,22.18,0.45,0.89,8.89,22.08,416.15,1.87,0.5
64,NODE005,14.26,22.27,0.44,0.89,8.85,22.07,415.44,1.88,0.5
65,NODE005,14.13,22.09,0.44,0.89,8.88,22.03,415.67,1.9,0.5
66,NODE005,14.16,21.92,0.44,0.89,8.89,22.01,414.96,1.88,0.49
67,NODE005,14.2,21.78,0.44,0.89,8.87,22.01,415.3,1.86,0.47
68,NODE005,14.33,21.91,0.44,0.89,8.94,22.05,414.58,1.84,0.48
69,NODE005,14.23,21.91,0.44,0.89,8.96,22.06,414.13,1.85,0.47
70,NODE005,14.14,21.91,0.44,0.89,8.92,22.07,414.43,1.87,0.47
71,NODE005,14.02,22.0,0.43,0.89,8.98,22.08,414.05,1.89,0.45
72,NODE005,14.03,22.2,0.43,0.9,9.05,22.07,414.6,1.91,0.45
73,NODE005,14.04,22.27,0.43,0.9,9.04,22.09,415.31,1.93,0.43
74,NODE005,14.01,22.12,0.44,0.9,9.07,22.1,415.06,1.93,0.43
75,NODE005,14.02,22.08,0.44,0.9,9.03,22.05,414.68,1.95,0.42
76,NODE005,14.04,21.97,0.44,0.89,9.02,22.05,414.47,1.93,0.41
77,NODE005,14.02,21.98,0.44,0.9,9.06,22.02,414.53,1.94,0.42
78,NODE005,14.04,21.8,0.44,0.9,9.02,22.03,414.22,1.96,0.42
79,NODE005,14.1,21.74,0.44,0.9,9.02,22.03,413.54,1.98,0.41
80,NODE005,14.13,21.58,0.44,0.9,8.99,22.02,413.91,2.0,0.41
81,NODE005,14.07,21.47,0.44,0.9,8.97,22.04,414.27,2.02,0.42
82,NODE005,14.1,21.67,0.44,0.9,8.97,22.01,414.64,2.03,0.41
83,NODE005,14.05,21.8,0.44,0.9,8.92,21.97,414.59,2.03,0.44
84,NODE005,13.98,21.81,0.44,0.9,8.88,21.93,414.02,2.01,0.43
85,NODE005,14.0,21.94,0.44,0.9,8.9,21.94,414.17,1.99,0.45
86,NODE005,14.05,21.96,0.44,0.9,8.98,21.95,414.06,2.0,0.46
87,NODE005,14.13,22.03,0.44,0.9,9.04,21.91,414.2,1.99,0.47
88,NODE005,14.27,22.08,0.44,0.9,9.11,21.92,414.47,2.01,0.49
89,NODE005,14.38,22.08,0.44,0.89,9.05,21.95,414.07,1.99,0.48
90,NODE005,14.34,21.99,0.45,0.89,9.13,21.94,414.13,1.96,0.46
91,NODE005,14.26,21.69,0.44,0.89,8.98,21.83,414.35,1.95,0.46
92,NODE005,14.13,21.6,0.44,0.88,8.91,21.74,414.25,1.91,0.45
93,NODE005,13.96,21.55,0.44,0.88,8.83,21.69,413.66,1.87,0.46
94,NODE005,13.73,21.43,0.44,0.88,8.82,21.6,412.81,1.85,0.46
95,NODE005,13.64,21.12,0.43,0.87,8.77,21.55,413.32,1.81,0.44
96,NODE005,13.66,21.19,0.43,0.87,8.69,21.46,413.2,1.79,0.45
97,NODE005,13.56,21.05,0.42,0.87,8.63,21.42,413.43,1.76,0.46
98,NODE005,13.5,20.82,0.41,0.87,8.61,21.4,413.09,1.74,0.44
99,NODE005,13.47,20.7,0.41,0.87,8.49,21.35,413.63,1.7,0.42
100,NODE005,13.26,20.52,0.42,0.87,8.46,21.26,413.03,1.7,0.41
101,NODE005,13.08,20.56,0.41,0.87,8.46,21.2,412.63,1.68,0.41
102,NODE005,12.89,20.64,0.41,0.86,8.46,21.13,413.08,1.7,0.41
103,NODE005,12.85,20.7,0.42,0.86,8.43,21.11,412.44,1.7,0.4
104,NODE005,12.78,20.7,0.42,0.86,8.42,21.07,412.29,1.68,0.39
105,NODE005,12.81,20.75,0.42,0.85,8.39,21.02,411.6,1.66,0.39
106,NODE005,12.78,20.8,0.42,0.85,8.39,20.99,410.98,1.67,0.37
107,NODE005,12.65,20.69,0.41,0.85,8.36,20.99,410.88,1.68,0.37
108,NODE005,12.7,20.51,0.41,0.85,8.29,20.97,410.55,1.69,0.35
109,NODE005,12.67,20.48,0.41,0.85,8.19,20.97,410.5,1.68,0.37
110,NODE005,12.63,20.48,0.41,0.85,8.08,20.95,410.59,1.67,0.39
111,NODE005,12.7,20.41,0.4,0.84,8.09,20.95,410.61,1.65,0.41
112,NODE005,12.63,20.5,0.4,0.84,8.11,20.87,411.13,1.62,0.4
113,NODE005,12.49,20.56,0.39,0.84,8.09,20.8,411.39,1.59,0.38
