Row,Node ID,PM2.5,PM10,CO,NH3,NO2,Ozone,CO2,VOC,Smoke
1,NODE001,120.13,179.67,6.99,3.49,85.09,48.03,701.18,19.93,14.99
2,NODE001,137.68,206.24,7.62,3.49,89.86,48.03,700.29,21.26,16.97
3,NODE001,136.92,204.92,7.58,3.5,89.71,48.08,700.97,21.22,16.94
4,NODE001,136.33,204.23,7.56,3.5,89.56,48.11,699.57,21.12,16.84
5,NODE001,135.56,203.0,7.53,3.51,89.35,48.09,698.71,21.04,16.81
6,NODE001,135.06,201.86,7.52,3.5,89.15,48.16,699.18,21.01,16.76
7,NODE001,134.67,200.82,7.48,3.5,88.92,48.11,700.55,21.03,16.67
8,NODE001,134.07,200.37,7.46,3.49,88.7,48.11,699.81,21.0,16.64
9,NODE001,133.39,200.0,7.44,3.48,88.42,48.05,700.2,21.01,16.57
10,NODE001,132.83,199.65,7.42,3.49,88.41,47.97,700.86,21.0,16.51
11,NODE001,132.45,198.6,7.4,3.49,88.44,48.03,700.11,20.96,16.42
12,NODE001,144.12,215.58,7.7,3.49,95.85,48.07,700.23,23.72,18.16
13,NODE001,143.09,213.86,7.69,3.5,95.29,48.06,698.92,23.61,18.06
14,NODE001,142.2,212.59,7.65,3.51,94.87,48.02,699.09,23.51,17.91
15,NODE001,141.66,211.46,7.62,3.51,94.37,47.97,698.64,23.38,17.77
16,NODE001,140.59,210.35,7.59,3.52,94.13,47.9,697.9,23.27,17.63
17,NODE001,140.07,209.25,7.56,3.52,93.88,47.86,696.78,23.13,17.51
18,NODE001,139.46,208.27,7.56,3.51,93.51,47.84,697.99,22.96,17.38
19,NODE001,138.68,207.01,7.53,3.52,93.16,47.9,698.22,22.77,17.34
20,NODE001,138.27,206.32,7.52,3.52,92.84,47.86,698.0,22.59,17.23
21,NODE001,137.45,205.54,7.5,3.51,92.7,47.94,698.25,22.52,17.11
22,NODE001,137.08,204.63,7.48,3.52,92.26,47.96,698.32,22.48,16.99
23,NODE001,136.19,203.45,7.47,3.52,91.9,47.9,699.56,22.34,16.92
24,NODE001,135.55,202.63,7.45,3.53,91.54,47.94,698.8,22.23,16.86
25,NODE001,134.87,201.97,7.41,3.53,91.45,48.02,697.56,22.09,16.76
26,NODE001,152.35,228.16,7.84,3.52,97.64,48.05,698.0,24.97,17.67
27,NODE001,150.88,225.97,7.81,3.51,97.18,48.09,697.19,24.79,17.54
28,NODE001,149.94,224.45,7.76,3.51,96.64,48.0,698.11,24.62,17.41
29,NODE001,148.82,222.67,7.71,3.5,96.31,48.07,698.33,24.49,17.32
30,NODE001,147.49,220.86,7.7,3.51,95.99,48.13,697.52,24.27,17.19
31,NODE001,146.68,219.2,7.67,3.5,95.71,48.18,699.05,24.15,17.14
32,NODE001,145.8,217.55,7.66,3.51,95.42,48.22,698.39,24.03,17.02
33,NODE001,145.03,215.87,7.65,3.51,94.95,48.26,697.64,23.79,16.91
34,NODE001,144.3,214.86,7.62,3.51,94.54,48.33,697.84,23.71,16.79
35,NODE001,143.19,213.89,7.58,3.5,94.15,48.35,697.37,23.58,16.72
36,NODE001,142.35,212.38,7.57,3.49,93.94,48.34,698.13,23.47,16.67
37,NODE001,141.25,211.27,7.54,3.49,93.71,48.37,697.61,23.3,16.59
38,NODE001,151.77,226.94,8.03,3.5,99.33,48.42,698.05,25.45,17.89
39,NODE001,150.52,224.88,7.99,3.5,98.87,48.35,696.88,25.23,17.79
40,NODE001,149.54,223.34,7.95,3.5,98.23,48.26,696.24,25.02,17.71
41,NODE001,148.35,221.76,7.9,3.5,97.72,48.21,696.86,24.74,17.63
42,NODE001,147.03,220.08,7.85,3.51,97.23,48.13,696.23,24.61,17.52
43,NODE001,146.1,218.91,7.82,3.52,96.89,48.14,697.04,24.42,17.45
44,NODE001,145.35,217.6,7.79,3.51,96.34,48.15,697.96,24.25,17.37
45,NODE001,144.13,215.98,7.75,3.51,95.92,48.09,697.23,24.11,17.29
46,NODE001,143.16,214.62,7.72,3.5,95.47,48.15,697.59,23.98,17.24
47,NODE001,142.21,212.89,7.68,3.51,95.18,48.22,697.45,23.86,17.15
48,NODE001,141.21,211.4,7.65,3.5,94.73,48.24,697.26,23.65,17.06
49,NODE001,140.48,209.82,7.62,3.5,94.2,48.25,696.28,23.5,16.93
50,NODE001,139.54,208.54,7.61,3.5,93.93,48.29,695.69,23.29,16.81
51,NODE001,139.11,207.32,7.59,3.5,93.64,48.32,697.21,23.11,16.69
52,NODE001,138.17,206.42,7.57,3.5,93.38,48.35,696.32,23.0,16.65
53,NODE001,137.68,205.78,7.53,3.49,93.0,48.37,697.84,22.87,16.6
