Row,Node ID,PM2.5,PM10,CO,NH3,NO2,Ozone,CO2,VOC,Smoke
1,NODE006,22.11,33.83,0.85,1.1,15.93,24.0,434.46,2.82,1.11
2,NODE006,22.22,33.82,0.85,1.1,15.92,24.04,433.79,2.81,1.12
3,NODE006,22.11,33.82,0.85,1.1,15.99,24.0,434.46,2.81,1.1
4,NODE006,22.3,33.79,0.84,1.1,15.91,23.96,434.93,2.84,1.09
5,NODE006,22.31,33.74,0.84,1.1,15.95,23.97,434.93,2.81,1.11
6,NODE006,22.4,33.82,0.84,1.1,15.87,23.96,435.0,2.83,1.09
7,NODE006,22.32,33.97,0.85,1.1,15.99,23.99,434.95,2.83,1.09
8,NODE006,22.19,34.05,0.85,1.1,15.98,24.03,434.72,2.8,1.08
9,NODE006,22.17,34.16,0.86,1.1,16.03,24.05,435.39,2.77,1.06
10,NODE006,22.32,33.98,0.85,1.1,15.94,24.06,434.89,2.78,1.05
11,NODE006,22.31,33.82,0.85,1.1,16.02,24.04,435.22,2.79,1.05
12,NODE006,22.42,33.97,0.86,1.1,16.04,24.03,434.79,2.77,1.07
13,NODE006,22.46,34.17,0.86,1.09,16.03,24.07,434.8,2.79,1.09
14,NODE006,22.49,34.37,0.85,1.1,16.01,24.05,434.91,2.79,1.09
15,NODE006,22.62,34.46,0.86,1.09,16.01,24.01,434.84,2.78,1.08
16,NODE006,22.72,34.42,0.86,1.09,15.92,23.97,435.01,2.81,1.09
17,NODE006,22.77,34.3,0.86,1.09,15.92,23.92,434.77,2.81,1.11
18,NODE006,22.77,34.53,0.85,1.1,16.01,23.92,434.49,2.81,1.11
19,NODE006,22.79,34.67,0.86,1.1,16.1,23.97,434.0,2.84,1.11
20,NODE006,22.78,34.67,0.87,1.1,16.04,23.95,433.87,2.81,1.11
21,NODE006,22.73,34.69,0.86,1.1,16.06,23.99,434.11,2.83,1.12
22,NODE006,22.56,34.61,0.85,1.1,16.1,23.98,434.28,2.82,1.13
23,NODE006,22.67,34.68,0.85,1.1,16.04,23.97,433.92,2.83,1.11
24,NODE006,22.5,34.82,0.85,1.1,16.07,24.02,433.38,2.84,1.11
25,NODE006,22.39,34.73,0.84,1.1,16.17,24.04,433.13,2.83,1.09
26,NODE006,22.28,34.8,0.84,1.1,16.21,24.05,434.0,2.85,1.08
27,NODE006,22.46,34.59,0.83,1.1,16.21,24.03,433.97,2.87,1.08
