Row,Node ID,PM2.5,PM10,CO,NH3,NO2,Ozone,CO2,VOC,Smoke
1,NODE003,57.92,88.75,2.4,1.9,42.17,34.08,561.04,8.49,5.23
2,NODE003,57.93,88.59,2.42,1.91,42.33,34.14,562.01,8.42,5.23
3,NODE003,57.96,89.03,2.41,1.91,42.4,34.21,562.66,8.4,5.21
4,NODE003,58.23,89.35,2.4,1.92,42.37,34.21,563.59,8.44,5.18
5,NODE003,58.29,89.26,2.41,1.92,42.46,34.2,562.94,8.39,5.14
6,NODE003,58.28,88.97,2.43,1.92,42.55,34.12,561.83,8.4,5.18
7,NODE003,58.5,89.41,2.43,1.92,42.53,34.08,561.98,8.39,5.16
8,NODE003,58.72,89.17,2.43,1.92,42.58,34.1,562.07,8.4,5.13
9,NODE003,58.65,89.36,2.44,1.92,42.7,34.12,562.86,8.36,5.09
10,NODE003,58.85,89.25,2.43,1.92,42.53,34.17,562.56,8.43,5.08
11,NODE003,58.74,89.38,2.44,1.93,42.58,34.23,561.52,8.47,5.12
12,NODE003,58.89,89.79,2.45,1.93,42.51,34.28,561.23,8.53,5.14
13,NODE003,59.05,89.64,2.44,1.92,42.37,34.21,560.06,8.57,5.1
14,NODE003,58.89,90.01,2.44,1.92,42.41,34.19,559.73,8.62,5.09
15,NODE003,58.77,90.03,2.42,1.92,42.44,34.13,560.15,8.6,5.13
16,NODE003,58.77,89.92,2.42,1.92,42.39,34.18,559.42,8.61,5.1
17,NODE003,58.54,89.82,2.44,1.92,42.54,34.18,560.1,8.58,5.12
18,NODE003,58.68,89.57,2.44,1.93,42.39,34.12,561.04,8.57,5.13
19,NODE003,58.78,89.2,2.45,1.93,42.54,34.19,561.18,8.52,5.16
20,NODE003,58.82,88.86,2.46,1.93,42.53,34.11,560.4,8.47,5.16
21,NODE003,58.64,88.67,2.47,1.92,42.36,34.15,559.95,8.55,5.15
22,NODE003,58.51,88.84,2.47,1.93,42.26,34.08,561.07,8.59,5.13
23,NODE003,58.32,88.82,2.48,1.92,42.41,34.12,560.27,8.64,5.14
24,NODE003,58.44,88.72,2.47,1.93,42.45,34.05,559.31,8.69,5.16
25,NODE003,58.44,89.17,2.47,1.92,42.4,34.07,559.81,8.72,5.14
26,NODE003,58.49,88.93,2.46,1.92,42.43,34.01,560.72,8.72,5.11
27,NODE003,58.67,89.25,2.47,1.91,42.45,34.04,561.56,8.63,5.15
28,NODE003,58.43,89.06,2.47,1.91,42.57,34.05,562.52,8.59,5.1
29,NODE003,58.56,89.34,2.48,1.91,42.51,34.13,563.29,8.54,5.15
30,NODE003,58.39,89.03,2.47,1.91,42.4,34.08,562.06,8.62,5.18
31,NODE003,58.62,89.05,2.49,1.91,42.45,34.01,562.84,8.56,5.14
32,NODE003,58.68,88.83,2.49,1.91,42.4,33.95,561.66,8.58,5.11
33,NODE003,58.92,89.15,2.5,1.9,42.31,34.01,562.46,8.61,5.07
34,NODE003,58.91,89.48,2.5,1.9,42.44,34.0,562.76,8.64,5.11
35,NODE003,58.71,89.46,2.5,1.89,42.53,33.94,561.82,8.58,5.11
36,NODE003,58.62,89.25,2.5,1.9,42.43,33.97,562.26,8.56,5.14
37,NODE003,58.41,89.15,2.51,1.89,42.54,34.0,561.42,8.6,5.17
38,NODE003,58.64,89.06,2.52,1.89,42.6,33.92,562.45,8.57,5.21
39,NODE003,58.45,88.85,2.5,1.89,42.56,33.94,562.81,8.51,5.24
40,NODE003,58.5,89.28,2.49,1.9,42.53,33.9,562.19,8.48,5.24
41,NODE003,58.36,89.43,2.48,1.89,42.61,33.86,562.99,8.43,5.25
42,NODE003,58.29,89.33,2.49,1.9,42.46,33.83,563.45,8.47,5.25
43,NODE003,58.13,89.53,2.48,1.9,42.41,33.9,562.44,8.53,5.22
44,NODE003,58.4,89.9,2.48,1.91,42.44,33.97,562.36,8.56,5.18
45,NODE003,58.58,89.63,2.48,1.91,42.39,33.99,562.22,8.54,5.16
46,NODE003,58.81,89.71,2.48,1.91,42.27,34.03,561.38,8.58,5.14
47,NODE003,58.98,89.35,2.46,1.92,42.3,34.1,560.54,8.62,5.17
48,NODE003,58.9,89.52,2.46,1.92,42.36,34.1,559.49,8.69,5.17
49,NODE003,58.79,89.79,2.47,1.92,42.46,34.12,559.67,8.67,5.15
50,NODE003,58.85,89.71,2.46,1.91,42.42,34.05,559.34,8.73,5.15
51,NODE003,58.61,89.34,2.47,1.91,42.37,34.04,559.47,8.67,5.13
52,NODE003,58.69,89.71,2.46,1.91,42.4,33.97,559.62,8.6,5.17
53,NODE003,58.45,89.75,2.47,1.91,42.36,33.92,560.52,8.57,5.18
54,NODE003,58.72,89.91,2.47,1.91,42.45,33.86,560.91,8.49,5.19
55,NODE003,58.69,89.87,2.48,1.9,42.49,33.88,561.83,8.52,5.17
56,NODE003,58.74,89.63,2.46,1.91,42.44,33.95,562.25,8.58,5.14
57,NODE003,58.57,89.69,2.45,1.9,42.56,33.93,561.66,8.59,5.14
58,NODE003,58.53,89.69,2.45,1.9,42.57,33.95,560.44,8.56,5.15
59,NODE003,58.32,89.75,2.44,1.9,42.53,33.93,561.47,8.52,5.15
60,NODE003,58.23,89.88,2.45,1.91,42.42,33.9,560.32,8.53,5.17
